Retailer Name,Location,City,State,Country,Region,Activity Start Date,Activity End Date,Brand Model #,Brand Name,Category,Trademark,Three Files,Piano Sound,Distributor,Country of Origin,Manufacture Date,Price,Evidence 
QRS Retail Ltd,"Opp. Raymond Retail Shop, QRS Building, M.G.Road, Thiruvananthapuram - 680 001",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32GVSM,VU,DMT,No,Yes,No,Genus Electrotech Limited,India,,20000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4ea
QRS Retail Ltd,"Opp. Raymond Retail Shop, QRS Building, M.G.Road, Thiruvananthapuram - 680 001",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32G300,TCL ,DMT,Yes,Yes,Both,TCL King Electrical Appliances Huizhou Co Ltd,China,,9900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4ec
QRS Retail Ltd,"Opp. Raymond Retail Shop, QRS Building, M.G.Road, Thiruvananthapuram - 680 001",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32W4,SKYWORTH,DMT,No,Yes,No,Skyquad Electronics & Appliances Pvt. Ltd.,,,18300,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4e9
QRS Retail Ltd,"Opp. Raymond Retail Shop, QRS Building, M.G.Road, Thiruvananthapuram - 680 001",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,L49FM2,LLOYD,DMT,No,Yes,No,Havells India Ltd. ,India,,50990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4e7
QRS Retail Ltd,"Opp. Raymond Retail Shop, QRS Building, M.G.Road, Thiruvananthapuram - 680 001",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE40K6000B,Haier,DMT,No,Yes,Both,SHENZHEN MTC CO LTD,China,,36990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4eb
Viveks,OMR - ECR Link road Toll No 288 Old Mahabalipuram Rd Kandancavadi Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32S6500S,TCL ,DMT,Yes,Yes,Both,,,,12500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4de
Viveks,OMR - ECR Link road Toll No 288 Old Mahabalipuram Rd Kandancavadi Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,SLM32-RR,Reshoki,DMT,No,No,No,,,,8450,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4c5
Viveks,OMR - ECR Link road Toll No 288 Old Mahabalipuram Rd Kandancavadi Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43B9000,Haier,DMT,No,Yes,No,Haier Appliances (India) Pvt. Ltd,India,,23500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4c3
Viveks,OMR - ECR Link road Toll No 288 Old Mahabalipuram Rd Kandancavadi Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE32B9500WB,Haier,DMT,No,No,No,Haier Appliances (India) Pvt. Ltd,India,,9900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4c4
Viveks,OMR - ECR Link road Toll No 288 Old Mahabalipuram Rd Kandancavadi Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE55B9500U,Haier,DMT,No,Yes,Both,Haier Appliances (India) Pvt. Ltd,India,,43300,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4df
Viveks,OMR - ECR Link road Toll No 288 Old Mahabalipuram Rd Kandancavadi Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,DI32SFA,Detel,DMT,No,Yes,No,Malhotra Electronics Pvt Ltd,India,,8999,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c4c2
Reliance Digital,"No.917, 9th C/S, 2nd Phase, J. P. Nagar, Bengaluru",Bangalore,Bengaluru,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40S6500FS,TCL ,DMT,Yes,Yes,Both,TCL King Electrical Appliances Huizhou Co Ltd,China,,31990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c329
Reliance Digital,"No.917, 9th C/S, 2nd Phase, J. P. Nagar, Bengaluru",Bangalore,Bengaluru,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,75C2US,TCL ,DMT,Yes,Yes,Both,TCL King Electrical Appliances Huizhou Co Ltd,China,,150000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c324
Reliance Digital,"No.917, 9th C/S, 2nd Phase, J. P. Nagar, Bengaluru",Bangalore,Bengaluru,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32S6500S,TCL ,DMT,Yes,Yes,Both,Mirc Electronics Ltd,India,,11990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c326
Reliance Digital,"No.917, 9th C/S, 2nd Phase, J. P. Nagar, Bengaluru",Bangalore,Bengaluru,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LC-50UA6800X,SHARP,DMT,No,Yes,Both,SHARP MANUFACTURING CORPORATION (M) SDN. BHD.,Malaysia,,59990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c31f
Reliance Digital,"No.917, 9th C/S, 2nd Phase, J. P. Nagar, Bengaluru",Bangalore,Bengaluru,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,55U5580,RECONNECT,DMT,Yes,Yes,Both,Mirc Electronics Ltd,India,,49990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c31e
Unilet,"No.429/431, Hosur Road, Bommanahalli, Bangalore, Karnataka 560068, India",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,UA43RU7470,Samsung,DMT,No,Yes,Holiday 2,Dixon Technologies (India) Ltd,India,,56900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2d0
Unilet,"No.429/431, Hosur Road, Bommanahalli, Bangalore, Karnataka 560068, India",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,TH-32F200,PANASONIC ,DMT,No,Yes,No,Dixon Technologies (India) Ltd,India,,23990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2ce
Unilet,"No.429/431, Hosur Road, Bommanahalli, Bangalore, Karnataka 560068, India",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,TH-32GS595DX,PANASONIC ,DMT,No,Yes,Both,,,,23990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2cf
Unilet,"No.429/431, Hosur Road, Bommanahalli, Bangalore, Karnataka 560068, India",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43UM7780,LG,DMT,No,Yes,Holiday 2,,,,,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2d1
Unilet,"No.429/431, Hosur Road, Bommanahalli, Bangalore, Karnataka 560068, India",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,3230,CVT,DMT,No,Yes,No,WESTWAY ELECTRONICS LTD.,India,,19990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2cb
Kundan Electronics,"No.289/197/5, Hosur Main Road, opp Keb Building, Bangalore, Karnataka-0",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32T9981HD,MICROMAX,DMT,No,No,No,BHAGWATI PRODUCTS LIMITED,India,,20990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c472
Kundan Electronics,"No.289/197/5, Hosur Main Road, opp Keb Building, Bangalore, Karnataka-0",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE40K6000B,Haier,DMT,No,Yes,Both,SHENZHEN MTC CO LTD,China,,20000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c470
Kundan Electronics,"No.289/197/5, Hosur Main Road, opp Keb Building, Bangalore, Karnataka-0",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE32K6000B,Haier,DMT,No,Yes,No,Haier Appliances (India) Pvt. Ltd,,,12000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c46f
Kundan Electronics,"No.289/197/5, Hosur Main Road, opp Keb Building, Bangalore, Karnataka-0",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE32K6500AG,Haier,DMT,Yes,Yes,Both,Haier Appliances (India) Pvt. Ltd,India,,53000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c46e
Kundan Electronics,"No.289, 197/5, Hosur Rd, Opposite KEB Building, Rajiv Gandhi Nagar, Bommanahalli, Bengaluru, Karnataka 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40HG,ONIDA,DMT,No,No,No,Mirc Electronics Ltd,India,2017,31990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245d000
Kundan Electronics,"No.289, 197/5, Hosur Rd, Opposite KEB Building, Rajiv Gandhi Nagar, Bommanahalli, Bengaluru, Karnataka 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40R,MICROMAX,DMT,No,Yes,No,Micromax Electronics Limited,India,August 2018,40000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cff8
Kundan Electronics,"No.289, 197/5, Hosur Rd, Opposite KEB Building, Rajiv Gandhi Nagar, Bommanahalli, Bengaluru, Karnataka 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,49TA7000UHD,MICROMAX,DMT,No,Yes,Both,Micromax Electronics Limited,India,August 2019,60000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cff9
Kundan Electronics,"No.289, 197/5, Hosur Rd, Opposite KEB Building, Rajiv Gandhi Nagar, Bommanahalli, Bengaluru, Karnataka 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE39B9000,Haier,DMT,No,Yes,Holiday 1,HKC CORPORATION LIMITED,China,2018,33990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cffa
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43P65,TCL ,DMT,No,Yes,Holiday 2,TCL King Electrical Appliances Huizhou Co Ltd,China,,48000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2c2
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KD-43X8000G,SONY,DMT,Yes,Yes,Both,Competition Team Technology (India) Private Limited,India,,64990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2c8
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43W672G,SONY,DMT,No,Yes,Both,Competition Team Technology (India) Private Limited,India,,449900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2c9
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43RU7100,Samsung,DMT,No,Yes,Holiday 2,Dixon Technologies (India) Ltd,,,59900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2c7
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,TH-43GX750D,PANASONIC ,DMT,No,Yes,Holiday 2,PANASONIC AVC NETWORKS INDIA CO.LTD.,India,,56900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2c4
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,55UIS,ONIDA,DMT,No,Yes,No,Mirc Electronics Ltd,Inida,,99990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2ca
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43UM7300,LG,DMT,No,Yes,Both,LG ELECTRONICS INDIA PVT LTD,India,,55990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2c5
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,AKLT32-DNI32SV,Akai,DMT,No,Yes,No,Dixon Technologies (India) Ltd,India,,16000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2c1
Girias,"No.227, Roopena Agrahara, Bommanahalli, Bangalore, Karnataka, Pincode: 560068",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,AKLT43S-D438V,Akai,DMT,No,No,No,Dixon Technologies (India) Ltd,India,,27000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c2c0
Girias,"No.193/4A, 193/4B, Bannerghatta Main Road, Ns Palya, Btm 2nd Stage, Bangalore, Karnataka, Pincode: 560076",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,50P65,TCL ,DMT,Yes,Yes,Both,Mirc Electronics Ltd,India,,29900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c46b
Girias,"No.193/4A, 193/4B, Bannerghatta Main Road, Ns Palya, Btm 2nd Stage, Bangalore, Karnataka, Pincode: 560076",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32S6500S,TCL ,DMT,Yes,Yes,Both,,,,12490,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c46a
Girias,"No.193/4A, 193/4B, Bannerghatta Main Road, Ns Palya, Btm 2nd Stage, Bangalore, Karnataka, Pincode: 560076",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40 Basic,NVY,DMT,No,Yes,No,Reach Distributors (India) Pvt. Ltd.,India,,14490,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c469
Girias,"No.193/4A, 193/4B, Bannerghatta Main Road, Ns Palya, Btm 2nd Stage, Bangalore, Karnataka, Pincode: 560076",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,JMB32 BASIC,NVY,DMT,No,No,No,Reach Distributors (India) Pvt. Ltd.,India,,8190,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c468
Girias,"No.138, Shoolay Circle, Bangalore, Bangalore, Karnataka, Pincode: 560025",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,JM32 SMP2,NVY,DMT,No,Yes,No,Reach Distributors (India) Pvt. Ltd.,India,,10500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c46d
Girias,"No.138, Shoolay Circle, Bangalore, Bangalore, Karnataka, Pincode: 560025",Bengaluru,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,AKLT32S-D328V,Akai,DMT,No,No,No,Dixon Technologies (India) Ltd,India,,12740,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c46c
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,75C2US,TCL ,DMT,Yes,Yes,Both,TCL King Electrical Appliances Huizhou Co Ltd,China,,279990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c405
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LC-40LE380X,SHARP,DMT,No,Yes,Both,SHARP MANUFACTURING CORPORATION (M) SDN. BHD.,Malaysia,,23500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c418
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,TH-43GX500DX,PANASONIC ,DMT,No,Yes,Both,Panasonic India Pvt. Ltd,India,,48490,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c41a
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,TH-43GX500DX,PANASONIC ,DMT,No,Yes,Both,Panasonic India Pvt. Ltd,India,,14000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c404
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,TH-43F200DX,PANASONIC ,DMT,No,Yes,No,Dixon Technologies (India) Ltd,India,,29000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c41b
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,JMB32 BASIC,NVY,DMT,No,Yes,No,Reach Distributors (India) Pvt. Ltd.,India,,16900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c416
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,24PUB1HD,MICROMAX,DMT,No,No,No,BHAGWATI PRODUCTS LIMITED,,,11990000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c40f
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,40TA6445FHD,MICROMAX,DMT,No,Yes,Both,BHAGWATI PRODUCTS LIMITED,India,,19500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c411
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,L43F2J0NS,LLOYD,DMT,No,No,No,Havells India Ltd. ,India,,28500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c408
Devi Electronics,"No.12, New No.22, 10th Main Road, Ashoka Pillar Road, Jayanagar 2nd Block, Bangalore - 560011, Opposite Madhavan Park",Bangalore,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,L24F1R0GX,LLOYD,DMT,No,Yes,No,Havells India Ltd. ,India,,11990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c40c
Ezone E Mall,No. 6 2nd Floor Chittaranjan Ave Esplanade Chandni Chawk Bowbazar Kolkata West Bengal 700072,Kolkata,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KLE32EXHN86,KORYO,DMT,No,No,No,"K-Tronics ( SUZHOU) Technology Co., Ltd",China,,10999,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cb28
Ezone E Mall,No. 6 2nd Floor Chittaranjan Ave Esplanade Chandni Chawk Bowbazar Kolkata West Bengal 700072,Kolkata,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KLE40FNFLF71T,KORYO,DMT,No,No,No,"Guangdong Asano Technology Co., Ltd",China,,15999,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cb24
Ezone E Mall,No. 6 2nd Floor Chittaranjan Ave Esplanade Chandni Chawk Bowbazar Kolkata West Bengal 700072,Kolkata,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KLE32DLCHN7,KORYO,DMT,No,No,No,Dixon Technologies (India) Ltd,India,,7999,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cb25
Ezone E Mall,No. 6 2nd Floor Chittaranjan Ave Esplanade Chandni Chawk Bowbazar Kolkata West Bengal 700072,Kolkata,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KLE43FLCFH7S,KORYO,DMT,No,No,No,Dixon Technologies (India) Ltd,India,,21499,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cb29
Ezone E Mall,No. 6 2nd Floor Chittaranjan Ave Esplanade Chandni Chawk Bowbazar Kolkata West Bengal 700072,Kolkata,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Koryo Hd 1080,KORYO,DMT,No,Yes,No,,,,21499,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cb27
Multi Channel Electronics,"No. 23, 17, Gariahat Rd, Golpark, Kankulia, Kolkata, West Bengal 700029, India",Kolkata,West Bengal,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,43E4000S,SKYWORTH,DMT,No,No,No,Skyquad Electronics & Appliances Pvt. Ltd.,India,,17900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cab4
Multi Channel Electronics,"No. 23, 17, Gariahat Rd, Golpark, Kankulia, Kolkata, West Bengal 700029, India",Kolkata,West Bengal,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,L32PBC,LLOYD,DMT,No,Yes,Both,Havells India Ltd. ,India,,9500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245caae
Multi Channel Electronics,"No. 23, 17, Gariahat Rd, Golpark, Kankulia, Kolkata, West Bengal 700029, India",Kolkata,West Bengal,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,L24F1R0GX,LLOYD,DMT,No,No,No,Havells India Ltd. ,India,,7700,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cab2
Multi Channel Electronics,"No. 23, 17, Gariahat Rd, Golpark, Kankulia, Kolkata, West Bengal 700029, India",Kolkata,West Bengal,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,L49 FN2S,LLOYD,DMT,No,No,No,Havells India Ltd. ,India,,39900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cab3
Multi Channel Electronics,"No. 23, 17, Gariahat Rd, Golpark, Kankulia, Kolkata, West Bengal 700029, India",Kolkata,West Bengal,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE43B9000,Haier,DMT,No,Yes,No,Haier Appliances (India) Pvt. Ltd,India,,23000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245cab1
Multi Channel Electronics,"No. 23, 17, Gariahat Rd, Golpark, Kankulia, Kolkata, West Bengal 700029, India",Kolkata,West Bengal,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LE32B6000,Haier,DMT,No,No,No,,,,11000,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245caaf
Surabhi Electronics,No: 105 OMR Rajiv Gandhi IT Expy Phase-2 Thirumalai Nagar Annexe Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,50R7227FHD,MICROMAX,DMT,No,Yes,No,BHAGWATI PRODUCTS LIMITED,India,,12990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c52d
Surabhi Electronics,No: 105 OMR Rajiv Gandhi IT Expy Phase-2 Thirumalai Nagar Annexe Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,24BPUB1HD,MICROMAX,DMT,No,No,No,BHAGWATI PRODUCTS LIMITED,India,October 2018,9900,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c531
Surabhi Electronics,No: 105 OMR Rajiv Gandhi IT Expy Phase-2 Thirumalai Nagar Annexe Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LED-SH4004,Intex,DMT,No,Yes,No,Intex Technologies (India) Ltd.,India,,15990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c52f
Surabhi Electronics,No: 105 OMR Rajiv Gandhi IT Expy Phase-2 Thirumalai Nagar Annexe Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LED-G4301,Intex,DMT,No,Yes,No,Intex Technologies (India) Ltd.,India,,12500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c52e
Surabhi Electronics,No: 105 OMR Rajiv Gandhi IT Expy Phase-2 Thirumalai Nagar Annexe Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LED-3213,Intex,DMT,No,No,No,Intex Technologies (India) Ltd.,India,,12500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c530
Surabhi Electronics,No: 105 OMR Rajiv Gandhi IT Expy Phase-2 Thirumalai Nagar Annexe Perungudi Chennai Tamil Nadu 600096,Chennai,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,LED-SH3204,Intex,DMT,No,No,No,Intex Technologies (India) Ltd.,India,,15990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c532
