Retailer Name,Location,City,State,Country,Region,Activity Start Date,Activity End Date,Brand Model #,Brand Name,Category,Trademark,Three Files,Piano Sound,Distributor,Country of Origin,Manufacture Date,Price,Evidence
Eham Digital,"Unit# GF - 19, Kazhakootam - Kovalam Bypass Rd, Chacka, Thiruvananthapuram, Kerala 695024, India",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Fiesta 50,IMPEX,DMT,,No,No,"Jinpin Electrical Co., Ltd.",China,,30990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ce99
Eham Digital,"Unit# GF - 19, Kazhakootam - Kovalam Bypass Rd, Chacka, Thiruvananthapuram, Kerala 695024, India",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32 Series 6,Fobbs,DMT,No,No,No,,,,7500,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ce9d
Eham Digital,"Unit# GF - 19, Kazhakootam - Kovalam Bypass Rd, Chacka, Thiruvananthapuram, Kerala 695024, India",Thiruvananthapuram,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,Superstar32,Blueberrys,DMT,No,No,No,,,,84990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245ce9b
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,VD39H801,VISE,DMT,No,Yes,Both,Dixon Technologies (India) Ltd,India,,18990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c379
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,VD43F801,VISE,DMT,No,Yes,Both,Dixon Technologies (India) Ltd,India,,20990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c37a
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32S6500S,TCL ,DMT,No,Yes,Both,Mirc Electronics Ltd,India,,13490,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c386
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KLV-32W622G,SONY,DMT,No,Yes,Both,SONY EMCS (MALAYSIA) SDN BHD,MALAYSIA,2019,25990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c375
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KD-55X9500G,SONY,DMT,No,Yes,Both,Competition Team Technology (India) Private Limited,India,2019,149990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c377
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,32R202G,SONY,DMT,No,Yes,Both,Competition Team Technology (India) Private Limited,South korea,2019,18490,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c37c
Vijay Sales,"UGF 114, 115 ND Anchor Store, OC Square, Orange Country, GH-4, Ahinsa Khand 1, Indirapuram-201 014.",Ghaziabad,,India,,2019-09-24T04:43:49.994Z,2019-10-07T04:43:49.994Z,KLV-40R252F,SONY,DMT,No,Yes,Both,Competition Team Technology (India) Private Limited,India,2019,34990,https://avscale-dcf07.firebaseapp.com/evidence-images/5e1b74797b29c5489245c38b
